id,name,rating,reviews,address,location_query,weighted_rating
H2k9w_RR2uuuVLqloM5a0A,Wingen Bakery,4.7,296,"50 S Livermore Ave Livermore, CA 94550","Livermore, CA",4.690032584581253
waj_9nX5iiA9YRbLujOHZQ,Bocado: Un Petit Bistro,4.7,288,"320 St Mary St Pleasanton, CA 94566","Pleasanton, CA",4.689759971509972
BEl65goYUBIP3PpzKRIzwg,Tea & Trumpets,4.9,14,"Santa Rosa, CA 95405","Santa Rosa, CA",4.689448198198199
6gAKoCF2V5Tmm_4ci2_jIA,Atelier Kawashima,4.9,14,"Kentfield, CA 94904","Larkspur, CA",4.689448198198199
NjCN9OKAzaUeBeo8vRTB3Q,Molly Tea,4.7,276,"318 University Ave Palo Alto, CA 94301","Atherton, CA",4.689321895424836
WBRKNca7pKCHQhrd9gjWJw,Melo Melo Coconut Dessert,4.7,241,"302 Barber Ct Milpitas, CA 95035","Milpitas, CA",4.687799558723693
6j8n9b24TVJ5f5-M5MsWJw,Damask Rose Coffee,4.7,234,"6606 Shattuck Ave Oakland, CA 94609","Berkeley, CA",4.687441474493361
HIQ-cZ1VmzntkJYRfTGnxw,Brown Butter,4.7,232,"3456 Blackhawk Plaza Cir Danville, CA 94506","Danville, CA",4.68733527131783
-AM6f8ICHSaksM5BhnvPww,Heritage Coffeehouse,4.7,221,"4302 Shasta Dam Blvd Shasta Lake, CA 96019","Helena, CA",4.686717479674797
TAZ-BNUxF7rVpWaE24DFDA,Blue Willow Teaspot,4.7,221,"1200 Tenth St Berkeley, CA 94710","Albany, CA",4.686717479674797
_JptREZOJDZ718-tcfLjNw,Fox & Fawn Bakehouse,4.7,213,"305 1st St Benicia, CA 94510","Benicia, CA",4.686228927203065
EGgPlPxUqr-zrIcBP64taw,House Of Phin,4.7,207,"1920 International Blvd Oakland, CA 94606","Alameda, CA",4.685838258471238
xSwb0GsUGekz0FUuv55z_Q,Cafe Warao,4.7,196,"401 Marina Ctr Suisun City, CA 94585","Suisun City, CA",4.685061305070657
aevg5hGU51_KWLe3Gdoxqg,B&B Boba & Bánh Mì,4.7,186,"137 Peabody Rd Vacaville, CA 95687","Suisun City, CA",4.684277121609799
Ydcxae0kjapPcsYM5SxaCA,Boba Birds,4.7,183,"1569 Tara Hills Dr Pinole, CA 94564","Hercules, CA",4.684025555555556
qsT_rvIYYuO8jrEt9lZEzQ,Bula Pies Fiji,4.7,182,"2568 Springs Rd Vallejo, CA 94591","Benicia, CA",4.683939901697944
2gfFtHzKQ3J9AGwmqkuKpg,Batch 22 Bakery,4.7,182,"15466 Los Gatos Blvd Ste 113 Los Gatos, CA 95032","Campbell, CA",4.683939901697944
EYVbd7CmEpa4bQKbXMVsHQ,Bonito Poke,4.7,179,"3419 Broadway Ste H12 American Canyon, CA 94503","American Canyon, CA",4.683677338782926
dGl_9r8mLDlREUAjQS6l2A,Dynamite Donuts,4.7,177,"3700 San Pablo Ave Ste 4 Hercules, CA 94547","Hercules, CA",4.683497474747475
bQxmwI6vOOpwnT36_B-MfQ,Tsuruya,4.7,164,"1926 Shattuck Ave Berkeley, CA 94704","Berkeley, CA",4.68222428288823
fdZNlHFcJzVzUhREl6DYzA,Grounded - Livermore,4.7,162,"53 Wright Brothers Ave A Livermore, CA 94551","Livermore, CA",4.682010760760761
yq43yO8-ZzOsuEdgDn1dQQ,Sophie's Cuppa Tea,4.7,157,"2078 Antioch Ct Oakland, CA 94611","Alameda, CA",4.681453818369453
iAyzOp92r2-LyxZgWIlrSQ,Boba Luv,4.7,156,"1305 Gateway Blvd Ste E4 Fairfield, CA 94533","Suisun City, CA",4.68133826583593
a3YN7MZI07sBbUBfMWj1Kg,Tinyb Chocolate,4.7,156,"407 South B St San Mateo, CA 94401","San Mateo, CA",4.68133826583593
F5ZXet9Lhul9fT9XH7GK-g,Benicia Poke,4.7,155,"191 Military E C Ste C Benicia, CA 94510","Benicia, CA",4.681221264367816
tKzRNP7sMoM_vMINnRflzQ,Lolita Artisanal Bakery Cafe,4.7,153,"3790 S El Camino Real Ste 101 San Mateo, CA 94403","Belmont, CA",4.680982804232805
XVcb7hkeOHlmPqwG0kD_tA,Brew Coffee,4.7,152,"3176 Middlefield Rd Redwood City, CA 94063","Atherton, CA",4.680861288604899
QTvz7TAxxcug7oEtopJNjA,Jaffa Coffee Roasters,4.7,149,"1701 University Ave Berkeley, CA 94703","Albany, CA",4.680487242128122
RwpsCpu-uS2hTvJQ9_6W5g,Wildflour,4.7,142,"200 Airport Blvd Ste 1 South San Francisco, CA 94080","Brisbane, CA",4.679554891922639
Gb0nClmVFX3fOjztR261_Q,KavehG,4.7,139,"3408 Camino Tassajara Blackhawk, CA 94506","Danville, CA",4.679127468060396
